question,Matched Article Title,context,answer
Apa aktiviti popular di air terjun telaga tujuh?,air terjun telaga tujuh,"Air Terjun Telaga Tujuh Seven Wells rupa rangkai air terjun yang asal dari tujuh mata air , alir ke tujuh telaga mula jadi . Curah dari telaga pertama bentuk batang sungai kecil dan terusi ke telaga yang lain . Ia letak di tebing Gunung Mat Chinchang hala ke Teluk Burau . Air Terjun Telaga Tujuh setinggi 91 meter ini boleh daki lalu 900 anak tangga curam sehingga bahagian pertama air terjun . Ia boleh ambil masa antara 45 minit sehingga jam untuk daki sehingga ke puncak air terjun Telaga Tujuh yang setinggi 90 meter ini . Air Terjun Telaga Tujuh alir dari satu kolam ke satu kolam yang lain dan bentuk tujuk kolah pada muka bukit , dari mana ia dapat nama . Alir air yang pantas jadi batu keliling licin ketika air alir dari satu kolam ke kolam yang lain sehingga kolam ke tujuh di kaki bukit 90 meter di bawah . Air terjun ini kata sungguh cantik sehingga ia jadi tempat pari mandi dan juga mampu rawat sakit . Dapat pokok limau sintuk yang dapat di kawasan air terjun itu yang kata tinggal oleh pari sebut . Limau Sintuk biasa guna dalam ubat Melayu bagi buang sial dengan mandi sintuk . Air Terjun Telaga Tujuh boleh capai guna kereta , motorsikal atau teks satu meter lepas lepas Pantai Kok , belok ke kanan , tentang dengan Burau Bay Resort sehingga samapai ke tempat letak kereta . Dapat gerai jual cendera hati di kaki bukit . Panjat ke puncak air terjun makan masa sekitar 45 minit , dan unjung dapat nikmat pandang indah semulajadi di hutan hujan khatulistiwa panjang jalan . Bagi mereka yang mata tajam , mereka peluang lihat haiwan liar seperti monyet dan tupai , selain peluang lihat burung enggang yang tenggek di dahan pokok . Unjung nasihat agar patuh pandu yang beri , mereka yang tidak patuh arah selamat ada yang cedera atau bunuh di masa lalu . Ini laku apabila unjung lintas tali halang untuk pergi lebih hampir dengan air terjun lalu gelincir akibat batu yang licin . Legenda Turut cerita duduk tempat , percaya dapat tujuh orang puter dari kayangan yang sering mandi dan amat suka akan sejuk air perigi ini . Dapat orang putera raja yang tinggal hampir perigi ini dan cuba untuk mikat serta mengahwini salah orang puter ini tetapi masih belum jaya . Air ini juga percaya punya kuasa yang boleh sembuh beberapa sakit . Dekat dengan Air Terjun Telaga Tujuh adalah Jaya Langkawi dan Mutiara Burau Bay Resort . dua punya pantai di depan . Rujuk Paut luar Seven Wells Waterfall - Telaga Tujuh Gambar dan kisah kena Air Terjun Telaga Tujuh httpwww.langkawigeopark.com.mytelagatujuh.htm httpww2 sabah gov mypd knkmisteri20telaga20tujuh pdf",Air Terjun Telaga Tujuh setinggi 91 meter ini boleh daki lalu 900 anak tangga curam sehingga bahagian pertama air terjun
Mengapa air terjun telaga tujuh menjadi tempat tarikan pelancong?,air terjun telaga tujuh,"Air Terjun Telaga Tujuh Seven Wells rupa rangkai air terjun yang asal dari tujuh mata air , alir ke tujuh telaga mula jadi . Curah dari telaga pertama bentuk batang sungai kecil dan terusi ke telaga yang lain . Ia letak di tebing Gunung Mat Chinchang hala ke Teluk Burau . Air Terjun Telaga Tujuh setinggi 91 meter ini boleh daki lalu 900 anak tangga curam sehingga bahagian pertama air terjun . Ia boleh ambil masa antara 45 minit sehingga jam untuk daki sehingga ke puncak air terjun Telaga Tujuh yang setinggi 90 meter ini . Air Terjun Telaga Tujuh alir dari satu kolam ke satu kolam yang lain dan bentuk tujuk kolah pada muka bukit , dari mana ia dapat nama . Alir air yang pantas jadi batu keliling licin ketika air alir dari satu kolam ke kolam yang lain sehingga kolam ke tujuh di kaki bukit 90 meter di bawah . Air terjun ini kata sungguh cantik sehingga ia jadi tempat pari mandi dan juga mampu rawat sakit . Dapat pokok limau sintuk yang dapat di kawasan air terjun itu yang kata tinggal oleh pari sebut . Limau Sintuk biasa guna dalam ubat Melayu bagi buang sial dengan mandi sintuk . Air Terjun Telaga Tujuh boleh capai guna kereta , motorsikal atau teks satu meter lepas lepas Pantai Kok , belok ke kanan , tentang dengan Burau Bay Resort sehingga samapai ke tempat letak kereta . Dapat gerai jual cendera hati di kaki bukit . Panjat ke puncak air terjun makan masa sekitar 45 minit , dan unjung dapat nikmat pandang indah semulajadi di hutan hujan khatulistiwa panjang jalan . Bagi mereka yang mata tajam , mereka peluang lihat haiwan liar seperti monyet dan tupai , selain peluang lihat burung enggang yang tenggek di dahan pokok . Unjung nasihat agar patuh pandu yang beri , mereka yang tidak patuh arah selamat ada yang cedera atau bunuh di masa lalu . Ini laku apabila unjung lintas tali halang untuk pergi lebih hampir dengan air terjun lalu gelincir akibat batu yang licin . Legenda Turut cerita duduk tempat , percaya dapat tujuh orang puter dari kayangan yang sering mandi dan amat suka akan sejuk air perigi ini . Dapat orang putera raja yang tinggal hampir perigi ini dan cuba untuk mikat serta mengahwini salah orang puter ini tetapi masih belum jaya . Air ini juga percaya punya kuasa yang boleh sembuh beberapa sakit . Dekat dengan Air Terjun Telaga Tujuh adalah Jaya Langkawi dan Mutiara Burau Bay Resort . dua punya pantai di depan . Rujuk Paut luar Seven Wells Waterfall - Telaga Tujuh Gambar dan kisah kena Air Terjun Telaga Tujuh httpwww.langkawigeopark.com.mytelagatujuh.htm httpww2 sabah gov mypd knkmisteri20telaga20tujuh pdf",Air terjun ini kata sungguh cantik sehingga ia jadi tempat pari mandi dan juga mampu rawat sakit
Apa yang menarik di air terjun telaga tujuh?,air terjun telaga tujuh,"Air Terjun Telaga Tujuh Seven Wells rupa rangkai air terjun yang asal dari tujuh mata air , alir ke tujuh telaga mula jadi . Curah dari telaga pertama bentuk batang sungai kecil dan terusi ke telaga yang lain . Ia letak di tebing Gunung Mat Chinchang hala ke Teluk Burau . Air Terjun Telaga Tujuh setinggi 91 meter ini boleh daki lalu 900 anak tangga curam sehingga bahagian pertama air terjun . Ia boleh ambil masa antara 45 minit sehingga jam untuk daki sehingga ke puncak air terjun Telaga Tujuh yang setinggi 90 meter ini . Air Terjun Telaga Tujuh alir dari satu kolam ke satu kolam yang lain dan bentuk tujuk kolah pada muka bukit , dari mana ia dapat nama . Alir air yang pantas jadi batu keliling licin ketika air alir dari satu kolam ke kolam yang lain sehingga kolam ke tujuh di kaki bukit 90 meter di bawah . Air terjun ini kata sungguh cantik sehingga ia jadi tempat pari mandi dan juga mampu rawat sakit . Dapat pokok limau sintuk yang dapat di kawasan air terjun itu yang kata tinggal oleh pari sebut . Limau Sintuk biasa guna dalam ubat Melayu bagi buang sial dengan mandi sintuk . Air Terjun Telaga Tujuh boleh capai guna kereta , motorsikal atau teks satu meter lepas lepas Pantai Kok , belok ke kanan , tentang dengan Burau Bay Resort sehingga samapai ke tempat letak kereta . Dapat gerai jual cendera hati di kaki bukit . Panjat ke puncak air terjun makan masa sekitar 45 minit , dan unjung dapat nikmat pandang indah semulajadi di hutan hujan khatulistiwa panjang jalan . Bagi mereka yang mata tajam , mereka peluang lihat haiwan liar seperti monyet dan tupai , selain peluang lihat burung enggang yang tenggek di dahan pokok . Unjung nasihat agar patuh pandu yang beri , mereka yang tidak patuh arah selamat ada yang cedera atau bunuh di masa lalu . Ini laku apabila unjung lintas tali halang untuk pergi lebih hampir dengan air terjun lalu gelincir akibat batu yang licin . Legenda Turut cerita duduk tempat , percaya dapat tujuh orang puter dari kayangan yang sering mandi dan amat suka akan sejuk air perigi ini . Dapat orang putera raja yang tinggal hampir perigi ini dan cuba untuk mikat serta mengahwini salah orang puter ini tetapi masih belum jaya . Air ini juga percaya punya kuasa yang boleh sembuh beberapa sakit . Dekat dengan Air Terjun Telaga Tujuh adalah Jaya Langkawi dan Mutiara Burau Bay Resort . dua punya pantai di depan . Rujuk Paut luar Seven Wells Waterfall - Telaga Tujuh Gambar dan kisah kena Air Terjun Telaga Tujuh httpwww.langkawigeopark.com.mytelagatujuh.htm httpww2 sabah gov mypd knkmisteri20telaga20tujuh pdf","Legenda Turut cerita duduk tempat , percaya dapat tujuh orang puter dari kayangan yang sering mandi dan amat suka akan sejuk air perigi ini"
Apa yang boleh dilakukan di aquaria klcc?,aquaria klcc,"Aquaria KLCC ialah taman dalam air yang letak di bawah Pusat Konvensyen Kuala Lumpur dalam kawasan bangun KLCC . Liput kawasan 60 000 sq ft 6 000 m dalam dua aras dengan terowong bawah air panjang 90 meter , Aquaria KLCC tempat lebih 20 000 hidup darat dan air dari lebih 250 spesies berbeza dari dalam dan luar negara . Juga dapat pondok maklumat interaktif kena pemuliharaan hidup laut , serta kawasan uncit tema luas 5 000 sq ft 500 m . Paut luar Aquaria KLCC - In Pictures The show in Aquaria - Divers feeding Alami Hidup Bagai di Laut di Aquaria KLCC","Liput kawasan 60 000 sq ft 6 000 m dalam dua aras dengan terowong bawah air panjang 90 meter , Aquaria KLCC tempat lebih 20 000 hidup darat dan air dari lebih 250 spesies berbeza dari dalam dan luar negara"
Apa aktiviti popular di aquaria klcc?,aquaria klcc,"Aquaria KLCC ialah taman dalam air yang letak di bawah Pusat Konvensyen Kuala Lumpur dalam kawasan bangun KLCC . Liput kawasan 60 000 sq ft 6 000 m dalam dua aras dengan terowong bawah air panjang 90 meter , Aquaria KLCC tempat lebih 20 000 hidup darat dan air dari lebih 250 spesies berbeza dari dalam dan luar negara . Juga dapat pondok maklumat interaktif kena pemuliharaan hidup laut , serta kawasan uncit tema luas 5 000 sq ft 500 m . Paut luar Aquaria KLCC - In Pictures The show in Aquaria - Divers feeding Alami Hidup Bagai di Laut di Aquaria KLCC","Juga dapat pondok maklumat interaktif kena pemuliharaan hidup laut , serta kawasan uncit tema luas 5 000 sq ft 500 m"
Apa yang menarik di aquaria klcc?,aquaria klcc,"Aquaria KLCC ialah taman dalam air yang letak di bawah Pusat Konvensyen Kuala Lumpur dalam kawasan bangun KLCC . Liput kawasan 60 000 sq ft 6 000 m dalam dua aras dengan terowong bawah air panjang 90 meter , Aquaria KLCC tempat lebih 20 000 hidup darat dan air dari lebih 250 spesies berbeza dari dalam dan luar negara . Juga dapat pondok maklumat interaktif kena pemuliharaan hidup laut , serta kawasan uncit tema luas 5 000 sq ft 500 m . Paut luar Aquaria KLCC - In Pictures The show in Aquaria - Divers feeding Alami Hidup Bagai di Laut di Aquaria KLCC","Liput kawasan 60 000 sq ft 6 000 m dalam dua aras dengan terowong bawah air panjang 90 meter , Aquaria KLCC tempat lebih 20 000 hidup darat dan air dari lebih 250 spesies berbeza dari dalam dan luar negara"
Apa yang boleh dilakukan di a famosa?,a famosa,"Kota A Famosa maksud Yang Masyhur dalam bahasa Portugis rupa buah kubu yang telah bina oleh Portugis baik sahaja jaya tawan Melaka pada tahun 1512 . A Famosa letak di Bandar Hilir , Melaka bahan replika Istana Sultan Melaka dan Gereja St . Paul . Ia rupa seni bina Eropah tua yang masih tinggal di Asia . Nama A Famosa seringkali salah sebut bagai ei Famosa , masuk oleh rakyat Malaysia , olah kata tentu a dalam bahasa Portugis anggap bagai huruf A dalam abjad Inggeris . Sebut yang lebih tepat ialah Famosa bunyi lebih kurang ah . Sejarah Lepas tawan Portugis A Famosa rupa nama menara yang bina oleh orang Portugis lepas takluk Melaka pada 1511 . A Famosa sebahagian daripada Kota Melaka Fortaleza de Malaca yang ambil masa lama 5 bulan untuk bina . Akibat suhu panas terik dan kurang makan , ramai buruh paksa yang mati ketika bina kota sebut . Bahan bagi bina kota sebut ambil dari runtuh masjid dan bangun lain . Bina kota A Famosa atas arah Alfonso de Albuquerque boleh kata jadi lambang tentang duduk Melaka masa itu sehingga paksa pihak Portugis bina kota tahan baik sahaja mereka kuasa bandar Melaka . Kota A Famosa yang siap punya empat menara , atau katelum bastion , dengan tembok setebal 2 4 meter hingga 4 5 meter . menara sebut nali bagai Baluarte San Pedro , Baluerte de las Virgenes , Baluerte Madre de Dios , Baluerte Santo Domingo , dan Baluerte de Santiago . Jelang tahun 1583 , Melaka telah jadi bandar kota yang lindung dengan tujuh puluh meriam ke semua arah . A Famosa luas ke kawasan hampir dan liput tempat Eropah . Kawasan itu masuk Jalan Kota , Jalan Gereja , Jalan Mahkamah Jalan Istana . Jajah Portugis turut jadi ini satu tempat Kristian dengan 5 gereja , tempat ibadat , biara , hospital dan bagai . Bagaimana , kota ini gagal halang Belanda pada kurun ke-17 . Dengan bantu rakyat tempat dan Melayu Johor , serang telah lancar belum Belanda jaya rampas Melaka . Takluk oleh Belanda Kota A Famosa bina begitu kukuh sehingga ia bantu Portugis untuk tangkis semua bentuk serang . Untuk takluk Melaka , pasu Belanda mengepong kota sebut lama lima bulan , sementara duduk yang perangkap di dalam paksa makan kucing , tikus , dan dalam satu kes orang wanita makan bayi yang mati . Akhir , pada 14 Januari 1641 , pihak Belanda serbu lalu Pintu Santo Domingo Gate , yang jelang masa itu alami korban lebih 7 000 , akibat bulur , sakit dan tembak senjata api . Kota A Famosa yang rosak teruk dalam tempur telah baik sementara Porta de Santiago yang rupa pintu utama ganti dengan logo Syarikat Hindia Timur Belanda . Lepas tawan kota sebut , pihak Belanda baik dan ubah suai , dan letak jata mereka di atas pintu pagar yang masih kekal sehingga kini pada Porta de Santiago , satu pintu yang selamat , dengan ukir Anno 1670 . Tadbir oleh British Apabila tentera Napoleon jajah Belanda Holland pada tahun 1795 ,","Lepas tawan kota sebut , pihak Belanda baik dan ubah suai , dan letak jata mereka di atas pintu pagar yang masih kekal sehingga kini pada Porta de Santiago , satu pintu yang selamat , dengan ukir Anno 1670"
Manakah a famosa?,a famosa,"Kota A Famosa maksud Yang Masyhur dalam bahasa Portugis rupa buah kubu yang telah bina oleh Portugis baik sahaja jaya tawan Melaka pada tahun 1512 . A Famosa letak di Bandar Hilir , Melaka bahan replika Istana Sultan Melaka dan Gereja St . Paul . Ia rupa seni bina Eropah tua yang masih tinggal di Asia . Nama A Famosa seringkali salah sebut bagai ei Famosa , masuk oleh rakyat Malaysia , olah kata tentu a dalam bahasa Portugis anggap bagai huruf A dalam abjad Inggeris . Sebut yang lebih tepat ialah Famosa bunyi lebih kurang ah . Sejarah Lepas tawan Portugis A Famosa rupa nama menara yang bina oleh orang Portugis lepas takluk Melaka pada 1511 . A Famosa sebahagian daripada Kota Melaka Fortaleza de Malaca yang ambil masa lama 5 bulan untuk bina . Akibat suhu panas terik dan kurang makan , ramai buruh paksa yang mati ketika bina kota sebut . Bahan bagi bina kota sebut ambil dari runtuh masjid dan bangun lain . Bina kota A Famosa atas arah Alfonso de Albuquerque boleh kata jadi lambang tentang duduk Melaka masa itu sehingga paksa pihak Portugis bina kota tahan baik sahaja mereka kuasa bandar Melaka . Kota A Famosa yang siap punya empat menara , atau katelum bastion , dengan tembok setebal 2 4 meter hingga 4 5 meter . menara sebut nali bagai Baluarte San Pedro , Baluerte de las Virgenes , Baluerte Madre de Dios , Baluerte Santo Domingo , dan Baluerte de Santiago . Jelang tahun 1583 , Melaka telah jadi bandar kota yang lindung dengan tujuh puluh meriam ke semua arah . A Famosa luas ke kawasan hampir dan liput tempat Eropah . Kawasan itu masuk Jalan Kota , Jalan Gereja , Jalan Mahkamah Jalan Istana . Jajah Portugis turut jadi ini satu tempat Kristian dengan 5 gereja , tempat ibadat , biara , hospital dan bagai . Bagaimana , kota ini gagal halang Belanda pada kurun ke-17 . Dengan bantu rakyat tempat dan Melayu Johor , serang telah lancar belum Belanda jaya rampas Melaka . Takluk oleh Belanda Kota A Famosa bina begitu kukuh sehingga ia bantu Portugis untuk tangkis semua bentuk serang . Untuk takluk Melaka , pasu Belanda mengepong kota sebut lama lima bulan , sementara duduk yang perangkap di dalam paksa makan kucing , tikus , dan dalam satu kes orang wanita makan bayi yang mati . Akhir , pada 14 Januari 1641 , pihak Belanda serbu lalu Pintu Santo Domingo Gate , yang jelang masa itu alami korban lebih 7 000 , akibat bulur , sakit dan tembak senjata api . Kota A Famosa yang rosak teruk dalam tempur telah baik sementara Porta de Santiago yang rupa pintu utama ganti dengan logo Syarikat Hindia Timur Belanda . Lepas tawan kota sebut , pihak Belanda baik dan ubah suai , dan letak jata mereka di atas pintu pagar yang masih kekal sehingga kini pada Porta de Santiago , satu pintu yang selamat , dengan ukir Anno 1670 . Tadbir oleh British Apabila tentera Napoleon jajah Belanda Holland pada tahun 1795 ,","A Famosa letak di Bandar Hilir , Melaka bahan replika Istana Sultan Melaka dan Gereja St . Paul ."
Apa yang menarik di a famosa?,a famosa,"Kota A Famosa maksud Yang Masyhur dalam bahasa Portugis rupa buah kubu yang telah bina oleh Portugis baik sahaja jaya tawan Melaka pada tahun 1512 . A Famosa letak di Bandar Hilir , Melaka bahan replika Istana Sultan Melaka dan Gereja St . Paul . Ia rupa seni bina Eropah tua yang masih tinggal di Asia . Nama A Famosa seringkali salah sebut bagai ei Famosa , masuk oleh rakyat Malaysia , olah kata tentu a dalam bahasa Portugis anggap bagai huruf A dalam abjad Inggeris . Sebut yang lebih tepat ialah Famosa bunyi lebih kurang ah . Sejarah Lepas tawan Portugis A Famosa rupa nama menara yang bina oleh orang Portugis lepas takluk Melaka pada 1511 . A Famosa sebahagian daripada Kota Melaka Fortaleza de Malaca yang ambil masa lama 5 bulan untuk bina . Akibat suhu panas terik dan kurang makan , ramai buruh paksa yang mati ketika bina kota sebut . Bahan bagi bina kota sebut ambil dari runtuh masjid dan bangun lain . Bina kota A Famosa atas arah Alfonso de Albuquerque boleh kata jadi lambang tentang duduk Melaka masa itu sehingga paksa pihak Portugis bina kota tahan baik sahaja mereka kuasa bandar Melaka . Kota A Famosa yang siap punya empat menara , atau katelum bastion , dengan tembok setebal 2 4 meter hingga 4 5 meter . menara sebut nali bagai Baluarte San Pedro , Baluerte de las Virgenes , Baluerte Madre de Dios , Baluerte Santo Domingo , dan Baluerte de Santiago . Jelang tahun 1583 , Melaka telah jadi bandar kota yang lindung dengan tujuh puluh meriam ke semua arah . A Famosa luas ke kawasan hampir dan liput tempat Eropah . Kawasan itu masuk Jalan Kota , Jalan Gereja , Jalan Mahkamah Jalan Istana . Jajah Portugis turut jadi ini satu tempat Kristian dengan 5 gereja , tempat ibadat , biara , hospital dan bagai . Bagaimana , kota ini gagal halang Belanda pada kurun ke-17 . Dengan bantu rakyat tempat dan Melayu Johor , serang telah lancar belum Belanda jaya rampas Melaka . Takluk oleh Belanda Kota A Famosa bina begitu kukuh sehingga ia bantu Portugis untuk tangkis semua bentuk serang . Untuk takluk Melaka , pasu Belanda mengepong kota sebut lama lima bulan , sementara duduk yang perangkap di dalam paksa makan kucing , tikus , dan dalam satu kes orang wanita makan bayi yang mati . Akhir , pada 14 Januari 1641 , pihak Belanda serbu lalu Pintu Santo Domingo Gate , yang jelang masa itu alami korban lebih 7 000 , akibat bulur , sakit dan tembak senjata api . Kota A Famosa yang rosak teruk dalam tempur telah baik sementara Porta de Santiago yang rupa pintu utama ganti dengan logo Syarikat Hindia Timur Belanda . Lepas tawan kota sebut , pihak Belanda baik dan ubah suai , dan letak jata mereka di atas pintu pagar yang masih kekal sehingga kini pada Porta de Santiago , satu pintu yang selamat , dengan ukir Anno 1670 . Tadbir oleh British Apabila tentera Napoleon jajah Belanda Holland pada tahun 1795 ,",Ia rupa seni bina Eropah tua yang masih tinggal di Asia .
Apa aktiviti popular di batu ferringhi?,batu ferringhi,"Batu Feringghi Bahasa Inggeris Foreigners Rock ialah buah kawasan perangin utama sekali di negeri Pulau Pinang , Malaysia sama dengan hotel , kedai lancong , tempat perangin , restoran dan jabat sewa kereta dan motosikal . Ia letak tidak jauh dari pusat bandaraya George Town 5 km dari Tanjung Bungah . Batu Feringgi letak di panjang jalan pesisir barat laut bandar raya George Town dan penuh dengan resort taraf antarabangsa , rupa pantai paling kenal di Pulau Pinang dan Malaysia rupa dengan Teluk Bahang . Pantai Batu Feringgi juga telah landa ombak besar tsunami waktu laku tragedi Gempa bumi 26 Disember 2004 rupa juga dengan Teluk Bahang . Batu Feringgi rupa tempat yang punya banyak hotel di Pulau Pinang . hotel ini letak di hadap pantai sahaja . Banyak lancong dari Kuala Lumpur dan Australia akan kunjung di sini nikmat pandang tiap bulan . Banyak langgan turut berbolak-balik dari sini ke George Town masa kunjung ke pantai ini . hotel Holiday Inn Rasa Sayang Hard Rock Parkroyal Rujuk Paut luar",Banyak lancong dari Kuala Lumpur dan Australia akan kunjung di sini nikmat pandang tiap bulan .
